,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10647,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19569993.0,19569993.0,False,,1,,,,2023-12-14T20:35:00.000Z,42914.51726268233,27945833829.59137,13.164,0.00991983,0.48246082,-0.70233826,21.43074556,58.3680889,62.48280198,839836802429.0724,52.0115,901204862516.33,,2023-12-14T20:35:00.000Z,,,,,,2023-12-14 15:36:36.879321
1,1027,Ethereum,ETH,ethereum,8045,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120209039.96368828,120209039.96368828,True,,2,,,,2023-12-14T20:35:00.000Z,2288.2664979200445,13100094204.619862,7.0179,-0.0469668,1.69920956,-2.46917114,15.30279053,46.50419744,41.10292331,275070318896.0397,17.0331,275070318896.04,,2023-12-14T20:35:00.000Z,,,,,,2023-12-14 15:36:36.879321
2,825,Tether USDt,USDT,tether,68190,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,90659011200.68228,93609080552.55766,True,,3,,,,2023-12-14T20:34:00.000Z,1.0003211440216506,52776199382.195526,6.0112,-0.01242469,0.01547878,-0.00488086,0.01831099,0.01814993,0.02213695,90688125800.13814,5.6164,93639142549.15,,2023-12-14T20:34:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-12-14 15:36:36.879321
3,1839,BNB,BNB,bnb,1847,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,151695945.6414329,151695945.6414329,False,,4,,,,2023-12-14T20:34:00.000Z,251.95830852443393,890811358.7199345,-18.1814,-0.16006453,-0.54049957,9.10952781,4.70878375,20.15045799,18.60693443,38221053873.82991,2.3665,38221053873.83,,2023-12-14T20:34:00.000Z,,,,,,2023-12-14 15:36:36.879321
4,52,XRP,XRP,xrp,1173,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53957460981.0,99988170772.0,False,,5,,,,2023-12-14T20:35:00.000Z,0.6301653632126003,1495491425.9426794,1.2693,-0.35609204,0.92633079,-1.9438118,0.91520742,28.97663855,25.76902463,34002122997.121574,2.1055,63016536321.26,,2023-12-14T20:35:00.000Z,,,,,,2023-12-14 15:36:36.879321
5,5426,Solana,SOL,solana,561,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,427552802.8585428,564874867.7966806,True,,6,,,,2023-12-14T20:35:00.000Z,72.93053084360253,2383837194.1109533,5.5645,-0.82841868,1.88981584,12.05386495,30.48794661,232.67200256,289.9292411,31181652876.143665,1.9311,41196623968.62,,2023-12-14T20:35:00.000Z,,,,,,2023-12-14 15:36:36.879321
6,3408,USDC,USDC,usd-coin,15543,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,24448678678.08479,24448678678.08479,False,,7,,,,2023-12-14T20:34:00.000Z,1.0000526785140134,6744663577.60196,5.7351,-0.01711742,-0.02743431,-0.01193721,0.00250491,-0.00947778,-0.01539604,24449966598.14714,1.5146,24449966598.15,,2023-12-14T20:34:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-12-14 15:36:36.879321
7,2010,Cardano,ADA,cardano,1004,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35331055848.99,36439975031.087,False,,8,,,,2023-12-14T20:34:00.000Z,0.6386348452359779,1631677321.4277236,8.4189,0.05661725,0.62679317,40.22732429,80.38220142,158.36949151,157.65074034,22563643384.14342,1.3974,28738568035.62,,2023-12-14T20:34:00.000Z,,,,,,2023-12-14 15:36:36.879321
8,5805,Avalanche,AVAX,avalanche,595,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",720000000.0,366194826.8691876,434227736.8691876,False,,9,,,,2023-12-14T20:34:00.000Z,38.762035660730035,1657014507.8699846,-31.4833,-0.39070644,-4.34504235,46.09906133,128.22119814,322.79443883,318.30262,14194456937.878311,0.8791,27908665675.73,,2023-12-14T20:34:00.000Z,,,,,,2023-12-14 15:36:36.879321
9,74,Dogecoin,DOGE,dogecoin,845,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,142234296383.70526,142234296383.70526,True,,10,,,,2023-12-14T20:35:00.000Z,0.09689306725548331,788198544.8489583,1.2758,-0.33600073,1.91774863,3.24536564,34.8065923,62.87417944,56.23563566,13781517245.542702,0.8534,13781517245.54,,2023-12-14T20:35:00.000Z,,,,,,2023-12-14 15:36:36.879321
